,x,y,yaw,yawrate
148,0.6528727676596576,14.195199459823078,7.901234567901233,8.867726585444288
149,0.666171584760891,14.290370876004971,8.00836872908945,8.927846765684663
150,0.6796489331906309,14.38551717407959,8.116224332440549,8.987966945924963
151,0.6933059632260379,14.48063784718492,8.224801377954531,9.048087126165191
152,0.7071438235352726,14.575732381762956,8.334099865631396,9.108207306405417
153,0.7211636611453681,14.670800257519431,8.444119795471146,9.168327486645792
154,0.7353666214096842,14.765840947383607,8.554861167473781,9.228447666886316
155,0.749753847974951,14.860853917468267,8.666323981639296,9.288567847126247
156,0.764326482747884,14.955838627029866,8.778508237967698,9.34868802736677
157,0.7790856658613838,15.050794528428789,8.89141393645898,9.408808207606848
158,0.7940325356403051,15.145721067089807,9.005041077113148,9.468928387847372
159,0.8091682285668006,15.240617681462655,9.1193896599302,9.529048568087598
160,0.824493879245241,15.335483802982823,9.234459684910135,9.589168748327973
161,0.8400106203666968,15.430318856032445,9.350251152052953,9.6492889285682
162,0.8557195826729878,15.525122257901398,9.466764061358655,9.709409108808428
163,0.8716218949203033,15.6198934187486,9.583998412827242,9.76952928904895
164,0.8877186838423757,15.714631741563398,9.70195420645871,9.829649469289029
165,0.9040110741132235,15.80933662212721,9.820631442253063,9.889769649529404
166,0.9205001883094447,15.904007448975316,9.940030120210299,9.949889829769631
167,0.9371871468720747,15.998643603358852,10.06015024033042,10.010010010010154
168,0.9540730680679879,16.093244459206932,10.180991802613422,10.070130190250085
169,0.9711590679508632,16.187809383089057,10.302554807059312,10.130250370490904
170,0.988446260321693,16.282337734177638,10.424839253668084,10.190370550730984
171,1.0059357566888387,16.376828864210726,10.547845142439735,10.250490730970915
172,1.0236286662276435,16.47128211745503,10.671572473374274,10.310610911211585
173,1.0415260957395742,16.565696830669,10.796021246471694,10.370731091451665
174,1.05962914961092,16.660072333066218,10.921191461732002,10.430851271692335
175,1.0779389297710227,16.754407946278974,11.047083119155193,10.490971451932563
176,1.096456535650049,16.848702984322035,11.173696218741263,10.551091632172493
177,1.1151830641363056,16.9429567535567,11.30103076049022,10.611211812413016
178,1.134119609533077,17.037168552654965,11.429086744402058,10.671331992653244
179,1.1532672635150127,17.131337672564044,11.557864170476781,10.731452172893619
180,1.1726271150840308,17.225463396471,11.687363038714391,10.791572353134141
181,1.1922002505247626,17.319544999767707,11.81758334911488,10.851692533374072
182,1.2119877533595234,17.41358175001599,11.948525101678255,10.911812713614596
183,1.231990704302809,17.507572906913023,12.080188296404515,10.971932893854971
184,1.252210181215316,17.601517722256993,12.212572933293652,11.032053074094753
185,1.2726472590574884,17.695415439912967,12.34567901234568,11.092173254335721
186,1.2933030098425888,17.789265295779078,12.479506533560585,11.152293434575355
187,1.3141785025892831,17.8830665177529,12.614055496938379,11.212413614816175
188,1.3352748032737476,17.976818325698126,12.749325902479058,11.27253379505655
189,1.356592974781299,18.070519931411514,12.885317750182615,11.33265397529648
190,1.3781340768575334,18.164170538590096,13.022031040049058,11.392774155536856
191,1.3998991660589784,18.257769342798607,13.15946577207838,11.452894335776934
