"","maxyr","frame","x","z","YawRate_seconds"
"86",6,86,0.00899423502152786,11.6656779551506,0.0412125016111531
"87",6,87,0.00869882449507713,11.7990468335152,0.040950001568126
"88",6,88,0.00840500302729197,11.9323915266991,0.0406875016880804
"89",6,89,0.00811290057026781,12.0657039546967,0.0406000015107566
"90",6,90,0.0078222373209428,12.1990697956085,0.0404250018080347
"91",6,91,0.00753328608931042,12.3324218392372,0.0404250018080347
"92",6,92,0.00724570012767799,12.4657581853867,0.0404250018080347
"93",6,93,0.00695997896254994,12.5990955734253,0.0404250018080347
"94",6,94,0.00667561372683849,12.7323809456825,0.0404250018080347
"95",6,95,0.00639291721803602,12.8656597471237,0.0404250018080347
"96",6,96,0.00611257060198113,12.9986190509796,0.0405125017408864
"97",6,97,0.0058328389673261,13.1320035719872,0.0405125017408864
